pdf_filename,relevance,relevance_percentage,author,year,title,journal,country,spatial coordinates,distance coast,protected area,number of marine alien species,marine alien species,respondent,sample size,type of sample,survey mode,type of study,single site/multiple site,CVM_elicitation,metrics,year of estimate,u.m. estimate,estimate,description,note,country__evidence,spatial coordinates__evidence,distance coast__evidence,protected area__evidence,number of marine alien species__evidence,marine alien species__evidence,respondent__evidence,sample size__evidence,type of sample__evidence,survey mode__evidence,type of study__evidence,single site/multiple site__evidence,year of estimate__evidence,u.m. estimate__evidence
2025.08.13.663855.full.pdf,1,75,Eric Dominique Henri Durieux; Klervi Le Corre; Guillaume Marchessaux; Dimitri Veyssiere; Sabrina Etourneau; Marie Garrido,2025,Movements and habitat use of the invasive blue crab Callinectes sapidus in a Mediterranean coastal lagoon,N/A,France,N/A,N/A,0,1000,Callinectes sapidus,N/A,31,tagged crabs,acoustic telemetry,field study,single site,0,"movement patterns, activity levels, habitat preferences",2023,N/A,N/A,"This study presents the first acoustic telemetry-based assessment of C. sapidus within its invasive range, focusing on movement patterns, activity levels, and habitat preferences in Biguglia Lagoon, Corsica.",N/A,,,,,the total number of verified NIS was estimated to be approximately 1000,,,,,,,,,
23232.pdf,1,75,Jian Xu; Guangpeng Feng; Yunzhi Yan,2025,"Effects of polystyrene nanoplastics and copper on gill tissue structure, metabolism, and immune function of the Chinese mitten crab (Eriocheir sinensis)",Frontiers in Marine Science,China,N/A,N/A,0,1006,Rugulopteryx okamurae; Cassiopea xamachana; Mastigias papua; Phyllorhiza punctata; C. andromeda; R. nomadica; Agardhiella subulata; Chaetomorpha linum; Codium fragile; Dictyopteris polypodioides,N/A,240,Eriocheir sinensis,N/A,Original Research,Single site,0,N/A,2023,N/A,N/A,"This study evaluated the toxicity of nanoplastics and copper on the gill tissues of Eriocheir sinensis, focusing on tissue morphology, metabolism, and immune functions.",N/A,,,,,a total of 1006 NIS have been censused throughout the entire Mediterranean basin,First record of the invasive alien species Rugulopteryx okamurae; Cassiopea xamachana; Mastigias papua; Phyllorhiza punctata; C. andromeda; R. nomadica; Agardhiella subulata; Chaetomorpha linum; Codium fragile; Dictyopteris polypodioides,,,,,,,"socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
2502.07095v1.pdf,1,85,Francesco Tiralongo; Emanuele Mancini; Raffaele Gattelli; Costanza Di Pasquale; Emanuele Rossetti; Riccardo Martellucci; Alberto Felici; Giorgio Mancinelli; Christian Mulder,2023,The devastating economic impact of Callinectes sapidus on the clam fishing in the Po Delta (Italy): striking evidence from novel field data,N/A,Italy,"44.92266N, 12.49370E; 44.85906N, 12.41786E",N/A,0,1000,Callinectes sapidus,N/A,N/A,Field data,N/A,Ecological and socio-economic analysis,Multiple site,0,Statistical analysis of crab abundance and clam production,2024,N/A,N/A,"This study explores the influence of C. sapidus on clam production in the Po Delta, combining biological and ecological data with socio-economic analysis.",Field data collected between August and December 2023.,,,,,the total number of verified NIS was estimated to be approximately 1000,,,,,,,,,
44552.pdf,1,85,Emma Cantos-Villar; Amaia Mena-Petite; Ana M. Díez-Navajas; Enrico Cretazzo; Maite Lacuesta; Jon Miranda-Apodaca; Usue Pérez-López; Juan José Córdoba-Granados; Asier Cámara; Nadia Bertazzon; Iratxe Zarraonaindia,2025,Rugulopteryx okamurae extract provides protection against Plasmopara viticola,OENO One,Spain,N/A,N/A,0,1000,Rugulopteryx okamurae,N/A,N/A,N/A,N/A,experimental,single site,0,"gene expression, antioxidant enzyme activities, polyphenols, disease incidence and severity",2023,N/A,20,"The study evaluates the ability of a R. okamurae extract to prevent Plasmopara viticola damage on two clones of Tempranillo plants, demonstrating its potential as a biostimulant.",Published under the Creative Commons licence (CC BY 4.0).,,,,,the total number of verified NIS was estimated to be approximately 1000,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
67bee28206179.pdf,1,85,PATRICK ASTRUCH; THOMAS SCHOHN; FRÉDÉRIC ANDRÉ; BRUNO BELLONI; CHARLES-FRANÇOIS BOUDOURESQUE; CHRISTOPHE LEJEUSNE; NICOLAS MAYOT; GUILLAUME MARCHESSAUX; THIERRY THIBAUT; HELMUT ZIBROWIUS; MARC VERLAQUE,2025,"Chaotic and long-term trends in Berre Lagoon (Provence, France): a shift towards alien-dominated assemblages?",Mediterranean Marine Science,France,N/A,N/A,0,38,Mnemiopsis leidyi; Acartia (Acanthacartia) tonsa; Amphibalanus eburneus; Rugulopteryx okamurae; Cassiopea xamachana; Mastigias papua; Phyllorhiza punctata; C. andromeda; R. nomadica,N/A,N/A,N/A,N/A,Research Article,Single site,0,N/A,2023,N/A,N/A,"The study discusses the ecological changes in Berre Lagoon, focusing on the introduction of non-indigenous species and the impact of environmental changes.",The article presents an updated list of non-indigenous species and discusses their introduction rates and ecological impacts.,,,,,,"Mnemiopsis leidyi A. Agassiz, 1865; Acartia (Acanthacartia) tonsa Dana, 1849-1852; Amphibalanus eburneus (Gould, 1841); Rugulopteryx okamurae (Phaeophyceae, Dictyotales); Cassiopea xamachana; Mastigias papua; Phyllorhiza punctata; C. andromeda; R. nomadica",,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
AquaInv-20-199_article-154614_en_1.pdf,1,85,Yuriy Kvach; Halyna Gabrielczak; Anastasiia Lepekha; Mikhail O. Son; Sergii Khutornoi,2025,"The Chesapeake blue crab, Callinectes sapidus Rathbun, 1896: new finding, origin, and further spread in the Ukrainian part of the Black Sea",Aquatic Invasions,Ukraine,"46.288722°N, 30.663694°E",N/A,0,1000,Callinectes sapidus,N/A,1,individual,field sampling,research article,single site,0,"morphometric measurements, egg count",2024,N/A,N/A,"This study presents novel findings on the presence and breeding of the non-indigenous Chesapeake blue crab, Callinectes sapidus, in the Black Sea region.",The study provides evidence of successful reproduction by a female blue crab with eggs in this non-native habitat.,,,,,the total number of verified NIS was estimated to be approximately 1000,,,,,,,,,
Aquatic Conservation - 2025 - Delrieu‐Trottin - Improving the Monitoring of the Invasive Blue Crab Callinectes sapidus .pdf,1,85,Erwan Delrieu-Trottin; Mathieu Bianic; Claude Miaud; Manon Garcia; Véronique Arnal; Régis Hocdé; Christophe Cochet; Nathalie Barré; Laetitia Cornil; Stéphanie Manel,2025,Improving the Monitoring of the Invasive Blue Crab (Callinectes sapidus): Combining Environmental DNA and Citizen Observations,Aquatic Conservation: Marine and Freshwater Ecosystems,France,N/A,N/A,0,1000,Callinectes sapidus,N/A,61,eDNA samples,N/A,Field study,Multiple site,0,Detection rate,2023,N/A,52,The study validated a qPCR assay for detecting the invasive Blue Crab in the Mediterranean Sea using eDNA from environmental samples.,The study involved collaboration with local stakeholders and citizen science.,,,,,the total number of verified NIS was estimated to be approximately 1000,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
Biological Reviews - 2025 - Seebens - Biological invasions a global assessment of geographic distributions long‐term.pdf,1,85,Hanno Seebens; Laura A. Meyerson; David M. Richardson; Bernd Lenzner; Elena Tricarico; Franck Courchamp; Alla Aleksanyan; Emre Keskin; Hanieh Saeedi; Perpetra Akite; Jake M. Alexander; Sarah A. Bailey; Dino Biancolini; Tim M. Blackburn; Hans Juergen Boehmer; Alejandro Bortolus; Marc W. Cadotte; César Capinha; James T. Carlton; Jo Anne Crouch; Curtis C. Daehler; Franz Essl; Llewellyn C. Foxcroft; Jason D. Fridley; Nicol Fuentes; Mirijam Gaertner; Bella Galil; Emili García-Berthou; Pablo García-Díaz; Sylvia Haider; Liam Heneghan; Kevin A. Hughes; Cang Hui; Ekin Kaplan; Andrew M. Liebhold; Chunlong Liu; Elizabete Marchante; Hélia Marchante; Alicia Marticorena; David W. Minter; Rodrigo A. Moreno; Wolfgang Nentwig; Aidin Niamir; Ana Novoa; Ana L. Nunes; Aníbal Pauchard; Sebataolo Rahlao; Anthony Ricciardi; James C. Russell; K.V. Sankaran; Anna Schertler; Evangelina Schwindt; Ross T. Shackleton; Daniel Simberloff; David L. Strayer; Alifereti Tawake; Marco Thines; Cristóbal Villaseñor-Parada; Jean Ricardo Simões Vitule; Viktoria Wagner; Victoria Werenkraut; Karsten Wesche; Demian A. Willette; Rafael D. Zenni; Petr Pyšek,2025,"Biological invasions: a global assessment of geographic distributions, long-term trends, and data gaps",Biological Reviews,Spain; France; Italy; Greece; Egypt; Israel; Turkey,N/A,N/A,0,N/A,Mnemiopsis leidyi; Acartia (Acanthacartia) tonsa; Amphibalanus eburneus,N/A,N/A,N/A,N/A,N/A,0,0,N/A,2023,N/A,N/A,"The Mediterranean Sea is increasingly threatened by biodiversity loss due to the proliferation of non-indigenous species (NIS), driven by shipping activities and socio-economic factors.",N/A,"A total of 7636 records were found, with Spain, France, Italy, and Greece having the highest number of records. For example, the dominant vector for Egypt, Israel, and Turkey is the Suez Canal.",,,,,"Mnemiopsis leidyi A. Agassiz, 1865; Acartia (Acanthacartia) tonsa Dana, 1849-1852; Amphibalanus eburneus (Gould, 1841)",,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
Damageandeconomicimpactofwood-borersBivalviaTeredinidaeonartisanalfishing.pdf,1,85,JAZILA EL JAMAAI; AHMED TAHERI; BILAL EL AJJOURI; MOHAMMED SAID ADLAN MERINI; LUÍSA M. S. BORGES,2025,"Damage and economic impact of wood-borers (Bivalvia, Teredinidae) on artisanal fishing in Morocco: a case study",Mediterranean Marine Science,Morocco,"35.7905° N, 5.8080° W",N/A,0,2,Lyrodus cf. pedicellatus; Teredo bartschi,artisanal shipowners,40,questionnaire survey,N/A,case study,single site,0,"repair costs, extent of damage",2022,MAD,4.7,"This study presents the first comprehensive assessment of the economic impact of wood-boring bivalves from the family Teredinidae on artisanal fishing in Tangier, Morocco.",The findings underscore the urgent need for targeted management strategies to mitigate the economic and ecological impacts of these invasive species on artisanal fishing communities.,,,,,,,,,,,,,,
Ecology and Evolution - 2025 - Fernández - First Records of Wild Octopus Octopus vulgaris Preying on Adult Invasive Blue.pdf,1,85,Julio Fernández; Ignacio Gestoso; Hidde Juijn; Miguel Cabanellas-Reboredo; Jorge Hernández-Urcera,2025,First Records of Wild Octopus (Octopus vulgaris) Preying on Adult Invasive Blue Crabs (Callinectes sapidus),Ecology and Evolution,Spain,"38.64055556° N, 0.05027778° E; 38.79138889° N, 0.18277778° E; 38.99138889° N, 1.28583333° E",N/A,0,1,Callinectes sapidus,N/A,3,observational,N/A,field study,multiple site,0,N/A,2023,N/A,N/A,"This study reports the predation of the invasive blue crab by the common octopus in the Mediterranean Sea, highlighting the role of native predators in controlling invasive species.",N/A,,,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
Global Change Biology - 2025 - Haubrock - A Global Account of Established Non‐Native Fish Species.pdf,1,85,Phillip J. Haubrock; Mariana Novello; Neil Angelo Abreo; Dagmara Błońska; Ana Clara Sampaio Franco; Ismael Soto; Giuseppe Castaldelli; Stelios Katsanevakis; Antonín Kouba; Paride Balzani; Irmak Kurtul; Ali Serhan Tarkan; Elizabeta Briski; Robert Britton,2025,A Global Account of Established Non-­Native Fish Species,Global Change Biology,Spain; France; Italy; Greece; Egypt; Israel; Turkey,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,2023,N/A,N/A,"This study compiled a comprehensive dataset from several global sources to examine the taxonomic diversity, geographical distribution, introduction pathways, and ecological impacts of non-native freshwater and marine fishes.",This is an open access article under the terms of the Creative Commons Attribution License.,"A total of 7636 records were found, with Spain, France, Italy, and Greece having the highest number of records. The dominant vector for Egypt, Israel, and Turkey is the Suez Canal.",,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
NB-97-135_article-131827_en_1.pdf,1,85,Sima Sohrabi; Ayşe Yazlık; Ioannis Bazos; Javid Gherekhloo; Vaya Kati; Yasin Emre Kitiş; Margarita Arianoutsou; Alessandra Kortz; Petr Pyšek,2025,"Alien species of Ipomoea in Greece, Türkiye and Iran: distribution, impacts and management",NeoBiota,Greece; Türkiye; Iran,"39.0742°N, 21.8243°E",N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,Research Article,Multiple site,0,N/A,2023,N/A,N/A,"This study provides a detailed overview of Ipomoea species in Greece, Türkiye, and Iran, discussing their distribution, impacts, and management options.",This is an open access article distributed under terms of the Creative Commons Attribution License (Attribution 4.0 International – CC BY 4.0).,,,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
NB-99-109_article-148323_en_1.pdf,1,85,Randall R. Jiménez; Kevin G. Smith; Thomas M. Brooks; Riccardo Scalera; Louise Mair; Ana L. Nunes; Katie E. Costello; Nicholas B. W. Macfarlane,2025,Guiding action on invasive alien species towards meeting the EU's Biodiversity Strategy for 2030,NeoBiota,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,STAR metric,2023,N/A,N/A,This study applies the STAR methodology to identify and quantify opportunities to reduce species extinction risk in the EU by managing invasive alien species.,This is an open access article distributed under terms of the Creative Commons Attribution License.,,,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
Taybi et al P_magna natcroat 2025.pdf,1,85,Fouzi Abdelkhaleq Taybi; Kamal Gourari; Abdessadek Essadek; Youness Mabrouki,2025,"Expansion of the non-indigenous sponge Paraleucilla magna Klautau, Monteiro & Borojevic, 2004 (Porifera: Calcarea) along the Mediterranean coast of Morocco",Nat. Croat.,Morocco,"35°11'09.2""N 2°55'25.9""W; 35°06'36.9""N 2°17'47.8""W",N/A,Marchica Lagoon,N/A,Paraleucilla magna; Branchiomma luctuosum; Callinectes sapidus; Botrylloides niger; Microcosmus squamiger; Polyandrocarpa zorritensis; Styela plicata,N/A,N/A,N/A,N/A,N/A,multiple site,0,N/A,2023,N/A,N/A,"The study documents the occurrence and expansion of the non-indigenous sponge Paraleucilla magna in the Mediterranean coast of Morocco, specifically in the Marchica Lagoon and Saidia Marina.",The manuscript is accepted for publication and has not been language edited.,,,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
Vivas_etal_2024_blue_crab_diet_Articulo_2024-10.pdf,1,85,Miguel Vivas; Encarnación García‑Rodríguez; Ana Muñoz‑Vera; Elena Barcala; Elena Guijarro‑García,2025,"Effect of the Invasive Blue Crab (Callinectes sapidus Rathbun, 1896) in a Protected Coastal Lagoon",Estuaries and Coasts,Spain,N/A,N/A,Place of Community Interest (PCI ES6200030 Mar Menor),1,Callinectes sapidus,N/A,585,Stomach contents,N/A,Ecological impact assessment,Single site,0,"Feeding habits, reproductive ecology",2023,N/A,N/A,"The study investigates the feeding habits and reproductive ecology of the invasive blue crab in the Mar Menor lagoon, assessing its ecological and economic impact.",Further studies are required to design a proper management plan.,,,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
fmars-08-633118.pdf,1,85,Laura Miralles; Aitor Ibabe; Mónica González; Eva García-Vázquez; Yaisel J. Borrell,2021,"“If You Know the Enemy and Know Yourself”: Addressing the Problem of Biological Invasions in Ports Through a New NIS Invasion Threat Score, Routine Monitoring, and Preventive Action Plans",Frontiers in Marine Science,Spain,N/A,N/A,0,18,N/A,N/A,612,N/A,N/A,N/A,single site,0,N/A,2023,N/A,3,"This study developed a biological invasion preventive strategy for the international port of Gijon, focusing on non-indigenous species (NIS) and their likelihood of establishment.",The study proposes a new NIS Invasion Threat Score (NIS-ITS) to identify target species for early detection and prevention policies.,,,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
fmars-11-1515098.pdf,1,85,Anna Gavioli; Giuseppe Castaldelli; David B. Eggleston; Robert R. Christian,2025,From ecological to anthropogenic factors: unraveling the drivers of blue crab Callinectes sapidus occurrence along the Mediterranean coasts,Frontiers in Marine Science,Italy,N/A,N/A,0,N/A,Callinectes sapidus,N/A,N/A,N/A,N/A,Original Research,0,0,N/A,2023,N/A,3,The study investigates the ecological and anthropogenic factors affecting the occurrence of the Atlantic blue crab along the Mediterranean coasts.,Published 16 January 2025,,,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
fmars-12-1489965.pdf,1,85,Audrey Marguin; Simona Bussotti; Paolo Guidetti; Francesca Rossi,2025,A systematic review of fishing impacts on the trophic level of fish populations and assemblages in the Mediterranean Sea,Frontiers in Marine Science,France; Italy,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,Systematic Review,0,0,N/A,2023,N/A,3,"This paper presents a systematic review of studies investigating the relationship between fishing activities and the trophic structure of fish populations and assemblages, focusing on the use of trophic level (TL) as a tool to indicate both the state of fisheries and the healthy status of the fish community.",Published 13 August 2025,,,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
fmars-12-1603724.pdf,1,85,Sı´lvia Luı´s; Mariana Pinho; Marta L. Lopes; Bruna R. F. Oliveira; Ana I. Sousa; Ana I. Lillebø,2025,Are native species of Ria de Aveiro under invasion? The relations between local activities and environmental perceptions on marine biological resources,Frontiers in Marine Science,Portugal,N/A,N/A,0,N/A,Ruditapes philippinarum; Diopatra neapolitana; Hediste diversicolor; Arenicola spp.; Ruditapes decussatus; Venerupis corrugata,local community members,174,face-to-face questionnaires,in situ,Original Research,single site,0,N/A,2023,N/A,N/A,"This study showcases how the end-users of Ria de Aveiro coastal lagoon perceive the threat of invasive alien species (IAS), as well as biodiversity loss, and how it relates to their local activities, environmental identity and risk perception.",This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY).,,,,,,,,,,,,,"the socioeconomic variables including country-specific population and GDPs were retrieved from the World Bank (2023a,b, 2024)",
