pdf_filename,relevance,relevance_percentage,author,year,title,journal,country,spatial_coordinates,distance_coast,protected_area,number_of_marine_alien_species,marine_alien_species,respondent,sample_size,type_of_sample,survey_mode,type_of_study,single_site_multiple_site,CVM_elicitation,metrics,year_of_estimate,u_m_estimate,estimate,description,note,additional_estimates,country__evidence,spatial_coordinates__evidence,distance_coast__evidence,protected_area__evidence,number_of_marine_alien_species__evidence,marine_alien_species__evidence,respondent__evidence,sample_size__evidence,type_of_sample__evidence,survey_mode__evidence,type_of_study__evidence,single_site_multiple_site__evidence,year_of_estimate__evidence,u_m_estimate__evidence
67bee28206179.pdf,1,85,"ASTRUCH, P.; SCHOHN, T.; ANDRÉ, F.; BELLONI, B.; BOUDOURESQUE, C.-F.; LEJEUSNE, C.; MAYOT, N.; MARCHESSAUX, G.; THIBAUT, T.; ZIBROWIUS, H.; VERLAQUE, M.",2025,"Chaotic and long-term trends in Berre Lagoon (Provence, France): a shift towards alien-dominated assemblages?",Mediterranean Marine Science,France,N/A,N/A,0,38,Rugulopteryx okamurae,students,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The study discusses the ecological changes in Berre Lagoon, focusing on the introduction and impact of non-indigenous species following significant environmental disturbances.",N/A,N/A,,,,,,"First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",the school’s students and personnel for both their hospitality and participation in this research,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years.,,,
AquaInv-20-199_article-154614_en_1.pdf,1,85,"Kvach, Yuriy; Gabrielczak, Halyna; Lepekha, Anastasiia; Son, Mikhail O.; Khutornoi, Sergii",2025,"The Chesapeake blue crab, Callinectes sapidus Rathbun, 1896: new finding, origin, and further spread in the Ukrainian part of the Black Sea",Aquatic Invasions,Ukraine; Poland,"46.288722°N, 30.663694°E",N/A,0,1,Callinectes sapidus,students,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"This study presents novel findings on the presence and breeding of the non-indigenous Chesapeake blue crab, Callinectes sapidus, in the Black Sea region, particularly in Ukraine.",N/A,[],,,,,,,the school’s students and personnel for both their hospitality and participation in this research,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years.,,,
Aquatic Conservation - 2025 - Delrieu‐Trottin - Improving the Monitoring of the Invasive Blue Crab Callinectes sapidus .pdf,1,85,"Delrieu-Trottin, Erwan; Bianic, Mathieu; Miaud, Claude; Garcia, Manon; Arnal, Véronique; Hocdé, Régis; Cochet, Christophe; Barré, Nathalie; Cornil, Laetitia; Manel, Stéphanie",2025,Improving the Monitoring of the Invasive Blue Crab (Callinectes sapidus): Combining Environmental DNA and Citizen Observations,Aquatic Conservation: Marine and Freshwater Ecosystems,France,N/A,N/A,0,1,Callinectes sapidus,students,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,The study focuses on the early detection and monitoring of the invasive Blue Crab in the Mediterranean Sea using environmental DNA (eDNA) techniques.,N/A,N/A,,,,,,,the school’s students and personnel for both their hospitality and participation in this research,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years.,,,
Biological Reviews - 2025 - Seebens - Biological invasions a global assessment of geographic distributions long‐term.pdf,1,85,"Seebens, Hanno; Meyerson, Laura A.; Richardson, David M.; Lenzner, Bernd; Tricarico, Elena; Courchamp, Franck; Aleksanyan, Alla; Keskin, Emre; Saeedi, Hanieh; Akite, Perpetra; Alexander, Jake M.; Bailey, Sarah A.; Biancolini, Dino; Blackburn, Tim M.; Boehmer, Hans Juergen; Bortolus, Alejandro; Cadotte, Marc W.; Capinha, César; Carlton, James T.; Crouch, Jo Anne; Daehler, Curtis C.; Essl, Franz; Foxcroft, Llewellyn C.; Fridley, Jason D.; Fuentes, Nicol; Gaertner, Mirijam; Galil, Bella; García-Berthou, Emili; García-Díaz, Pablo; Haider, Sylvia; Heneghan, Liam; Hughes, Kevin A.; Hui, Cang; Kaplan, Ekin; Liebhold, Andrew M.; Liu, Chunlong; Marchante, Elizabete; Marchante, Hélia; Marticorena, Alicia; Minter, David W.; Moreno, Rodrigo A.; Nentwig, Wolfgang; Niamir, Aidin; Novoa, Ana; Nunes, Ana L.; Pauchard, Aníbal; Rahlao, Sebataolo; Ricciardi, Anthony; Russell, James C.; Sankaran, K.V.; Schertler, Anna; Schwindt, Evangelina; Shackleton, Ross T.; Simberloff, Daniel; Strayer, David L.; Tawake, Alifereti; Thines, Marco; Villaseñor-Parada, Cristóbal; Vitule, Jean Ricardo Simões; Wagner, Viktoria; Werenkraut, Victoria; Wesche, Karsten; Willette, Demian A.; Zenni, Rafael D.; Pyšek, Petr",2025,"Biological invasions: a global assessment of geographic distributions, long-term trends, and data gaps",Biological Reviews,Spain; France; Italy; Greece; Egypt; Israel; Turkey,N/A,N/A,0,1006,Rugulopteryx okamurae,students,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The Mediterranean Sea is increasingly threatened by biodiversity loss due to the proliferation of non-indigenous species (NIS), which can severely disrupt marine ecosystems.",N/A,[],"A total of 7636 records were found, with Spain, France, Italy, and Greece having the highest number of records. For example, the dominant vector for Egypt, Israel, and Turkey is the Suez Canal.",,,,"At the end of 2020, a total of 1006 NIS have been censused throughout the entire Mediterranean basin","First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",Students were excited and seemed to enjoy their involvement in the project.,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
Damageandeconomicimpactofwood-borersBivalviaTeredinidaeonartisanalfishing.pdf,1,85,"EL JAMAAI, J.; TAHERI, A.; EL AJJOURI, B.; ADLAN MERINI, M. S.; BORGES, L. M. S.",2025,"Damage and economic impact of wood-borers (Bivalvia, Teredinidae) on artisanal fishing in Morocco: a case study",Mediterranean Marine Science,Morocco,"35.7905° N, 5.8080° W",N/A,0,2,Lyrodus cf. pedicellatus; Teredo bartschi,artisanal shipowners,40,N/A,N/A,economic impact assessment,0,0,N/A,N/A,MAD,470000,"The study assesses the economic impact of wood-boring bivalves on artisanal fishing in Tangier, Morocco, highlighting significant damage and repair costs due to infestations.",The study indicates that 77.5% of the fleet was affected by teredinids.,N/A,,,,,,,,,,,,,,
Ecology and Evolution - 2025 - Fernández - First Records of Wild Octopus Octopus vulgaris Preying on Adult Invasive Blue.pdf,1,85,"Fernández, Julio; Gestoso, Ignacio; Juijn, Hidde; Cabanellas-Reboredo, Miguel; Hernández-Urcera, Jorge",2025,First Records of Wild Octopus (Octopus vulgaris) Preying on Adult Invasive Blue Crabs (Callinectes sapidus),Ecology and Evolution,Spain; Portugal; USA,"38.64055556° N, 0.05027778° E; 38.79138889° N, 0.18277778° E; 38.99138889° N, 1.28583333° E",N/A,0,1,Callinectes sapidus,students,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"This study reports the first records of predation of the invasive blue crab by the common octopus in the Mediterranean Sea, highlighting the role of native predators in controlling invasive species.",N/A,[],,,,,,,Students were excited and seemed to enjoy their involvement in the project.,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
Global Change Biology - 2025 - Haubrock - A Global Account of Established Non‐Native Fish Species.pdf,1,85,"Haubrock, Phillip J.; Novello, Mariana; Abreo, Neil Angelo; Błońska, Dagmara; Franco, Ana Clara Sampaio; Soto, Ismael; Castaldelli, Giuseppe; Katsanevakis, Stelios; Kouba, Antonín; Balzani, Paride; Kurtul, Irmak; Tarkan, Ali Serhan; Briski, Elizabeta; Britton, Robert",2025,A Global Account of Established Non-­Native Fish Species,Global Change Biology,193 countries,N/A,N/A,0,1006,Rugulopteryx okamurae,students,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The study compiles a comprehensive dataset to examine the taxonomic diversity, geographical distribution, introduction pathways, and ecological impacts of non-native freshwater and marine fishes.",N/A,N/A,,,,,"At the end of 2020, a total of 1006 NIS have been censused throughout the entire Mediterranean basin","First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",Students were excited and seemed to enjoy their involvement in the project.,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years.,,,
NB-97-135_article-131827_en_1.pdf,1,85,"Sohrabi, Sima; Yazlık, Ayşe; Bazos, Ioannis; Gherekhloo, Javid; Kati, Vaya; Kitiş, Yasin Emre; Arianoutsou, Margarita; Kortz, Alessandra; Pyšek, Petr",2025,"Alien species of Ipomoea in Greece, Türkiye and Iran: distribution, impacts and management",NeoBiota,Greece; Türkiye; Iran,"39.0742°N, 21.8243°E",N/A,0,1006,Rugulopteryx okamurae,students,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The paper provides a detailed overview of the distribution, impacts, and management of alien Ipomoea species in Greece, Türkiye, and Iran.",N/A,N/A,,,,,"At the end of 2020, a total of 1006 NIS have been censused throughout the entire Mediterranean basin","First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",Students were excited and seemed to enjoy their involvement in the project.,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years.,,,
NB-99-109_article-148323_en_1.pdf,1,85,"Jiménez, Randall R.; Smith, Kevin G.; Brooks, Thomas M.; Scalera, Riccardo; Mair, Louise; Nunes, Ana L.; Costello, Katie E.; Macfarlane, Nicholas B. W.",2025,Guiding action on invasive alien species towards meeting the EU's Biodiversity Strategy for 2030,NeoBiota,Spain; Portugal; Italy; Greece,N/A,100.5,0,1006,Rugulopteryx okamurae,N/A,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,The study focuses on the economic impacts of invasive alien species (IAS) in the EU and aims to identify opportunities for reducing species extinction risk through effective management of IAS.,The article discusses the application of the STAR methodology for managing IAS in the context of the EU Biodiversity Strategy 2030.,N/A,,,"D50, which represents the distance at which the detection efficiency declines to 50% of the maximum detection proportion was estimated here at 100.5 meters",,"At the end of 2020, a total of 1006 NIS have been censused throughout the entire Mediterranean basin","First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
Taybi et al P_magna natcroat 2025.pdf,1,85,"Taybi, F.A.; Gourari, K.; Essadek, A.; Mabrouki, Y.",2025,"Expansion of the non-indigenous sponge Paraleucilla magna Klautau, Monteiro & Borojevic, 2004 (Porifera: Calcarea) along the Mediterranean coast of Morocco",Nat. Croat.,Morocco,"35°11'09.2""N 2°55'25.9""W; 35°06'36.9""N 2°17'47.8""W",N/A,1,5,Paraleucilla magna; Branchiomma luctuosum; Callinectes sapidus; Botrylloides niger; Microcosmus squamiger; Polyandrocarpa zorritensis; Styela plicata,N/A,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The paper documents the occurrence and rapid expansion of the non-indigenous sponge Paraleucilla magna in the Marchica Lagoon and Saidia Marina, highlighting the need for monitoring and management strategies.",N/A,N/A,,,,,,,,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years,,,
Vivas_etal_2024_blue_crab_diet_Articulo_2024-10.pdf,1,85,"Vivas, Miguel; García‑Rodríguez, Encarnación; Muñoz‑Vera, Ana; Barcala, Elena; Guijarro‑García, Elena",2025,"Effect of the Invasive Blue Crab (Callinectes sapidus Rathbun, 1896) in a Protected Coastal Lagoon",Estuaries and Coasts,Spain,N/A,100.5,1,1,Callinectes sapidus,N/A,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The study investigates the potential impact of the invasive Atlantic blue crab on the Mar Menor lagoon ecosystem, focusing on its feeding habits and reproductive ecology.",N/A,N/A,,,"D50, which represents the distance at which the detection efficiency declines to 50% of the maximum detection proportion was estimated here at 100.5 meters",,,,,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years.,,,
fmars-08-633118.pdf,1,85,"Miralles, Laura; Ibabe, Aitor; González, Mónica; García-Vázquez, Eva; Borrell, Yaisel J.",2021,"“If You Know the Enemy and Know Yourself”: Addressing the Problem of Biological Invasions in Ports Through a New NIS Invasion Threat Score, Routine Monitoring, and Preventive Action Plans",Frontiers in Marine Science,Spain,N/A,N/A,0,18,Rugulopteryx okamurae,N/A,612,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The study addresses biological invasions in ports, focusing on the port of Gijon, Spain, and proposes a new NIS Invasion Threat Score to predict and manage non-indigenous species.",N/A,N/A,,,,,,"First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years.,,,
fmars-11-1515098.pdf,1,85,"Gavioli, Anna; Castaldelli, Giuseppe; Eggleston, David B.; Christian, Robert R.",2025,From ecological to anthropogenic factors: unraveling the drivers of blue crab Callinectes sapidus occurrence along the Mediterranean coasts,Frontiers in Marine Science,Italy,N/A,N/A,0,1,Callinectes sapidus,N/A,N/A,N/A,N/A,costs,0,0,N/A,N/A,N/A,N/A,"The study investigates the factors influencing the occurrence of the Atlantic blue crab along the Mediterranean coasts, highlighting the impacts of water quality and anthropogenic factors.",N/A,[],,,,,,,,,,,cumulative expenses estimated at US$140.20 billion for Europe over the past sixty years.,,,
fmars-12-1489965.pdf,1,85,"Marguin, Audrey; Bussotti, Simona; Guidetti, Paolo; Rossi, Francesca",2025,A systematic review of ﬁshing impacts on the trophic level of ﬁsh populations and assemblages in the Mediterranean Sea,Frontiers in Marine Science,France; Italy,N/A,N/A,0,1006,Rugulopteryx okamurae,N/A,N/A,N/A,N/A,Systematic Review,0,0,N/A,N/A,N/A,N/A,"This paper presents a systematic review of studies investigating the relationship between fishing activities and the trophic structure of fish populations and assemblages, focusing on the Mediterranean Sea.",N/A,N/A,,,,N/A,"At the end of 2020, a total of 1006 NIS have been censused throughout the entire Mediterranean basin","First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",,,,,,,,
fmars-12-1603724.pdf,1,85,"Luı´s, S; Pinho, M; Lopes, ML; Oliveira, BRF; Sousa, AI; Lillebø, AI",2025,Are native species of Ria de Aveiro under invasion? The relations between local activities and environmental perceptions on marine biological resources,Frontiers in Marine Science,Portugal,N/A,N/A,0,1006,Diopatra neapolitana; Hediste diversicolor; Arenicola spp.; Ruditapes decussatus; Venerupis corrugata; Ruditapes philippinarum,private citizens,174,N/A,face to face,choice experiment,0,0,N/A,N/A,N/A,N/A,This study investigates the perceptions of the local community regarding the threat of invasive alien species and biodiversity loss in the Ria de Aveiro coastal lagoon.,N/A,N/A,,,,N/A,"At the end of 2020, a total of 1006 NIS have been censused throughout the entire Mediterranean basin",,,,,,Gain and loss of money in a choice experiment.,,,
fmars-12-1631423.pdf,1,85,"Chiappi, Marina; Stranga, Yolanda; Kalloniati, Chrysanthi; Tsirintanis, Konstantinos; Tsirtsis, George; Azzurro, Ernesto; Katsanevakis, Stelios",2025,"CIMPAL expanded: unraveling the cumulative impacts of invasive alien species, jellyﬁsh blooms, and harmful algal blooms",Frontiers in Marine Science,Greece; Italy,N/A,N/A,0,26,Rugulopteryx okamurae,N/A,N/A,N/A,N/A,choice experiment,0,0,N/A,N/A,N/A,N/A,"This study expands the Cumulative IMPacts of invasive ALien species (CIMPAL) index to assess the cumulative impacts of IAS, HABs, and jellyﬁsh blooms, also accounting for interspeciﬁc interactions.",N/A,N/A,,,,,,"First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",,,,,Gain and loss of money in a choice experiment.,,,
ijfs-14-3-13287.pdf,1,85,"Manfredi, Alessio; Lorusso, Patrizio; Pandiscia, Annamaria; Bonerba, Elisabetta; Ceci, Edmondo; Bozzo, Giancarlo; Cristofaro, Domenico; Terio, Valentina",2025,Antibiotic residues and heavy metals in blue crabs (Callinectes sapidus) fished in the Mediterranean Sea: a preliminary study,Italian Journal of Food Safety,Italy,N/A,N/A,0,1,Callinectes sapidus,N/A,18,N/A,N/A,choice experiment,0,0,N/A,N/A,N/A,N/A,"The study assesses heavy metals and antibiotic residues in blue crab samples from various Mediterranean sites, highlighting the importance of monitoring these contaminants for food safety and ecosystem management.",N/A,N/A,,,,,,,,,,,Gain and loss of money in a choice experiment.,,,
jmse-13-00374.pdf,1,85,"Borriglione, M.; Ruitton, S.; Blanfuné, A.; Perret-Boudouresque, M.; Thouroude, B.; Verlaque, M.; Boudouresque, C.-F.; Thibaut, T.",2025,Non-Indigenous Species of Macroalgae in French Mediterranean Marine Protected Areas: Distribution and Trends,J. Mar. Sci. Eng.,France,N/A,N/A,1,107,Rugulopteryx okamurae,N/A,N/A,N/A,N/A,choice experiment,0,0,N/A,N/A,N/A,N/A,"The review quantifies and characterizes the distribution of non-indigenous macroalgae in French Mediterranean marine protected areas, highlighting the widespread occurrence and the challenges in monitoring and managing these species.",N/A,N/A,,,,,,"First record of the invasive alien species Rugulopteryx okamurae (Phaeophyceae, Dictyotales)",,,,,Gain and loss of money in a choice experiment.,,,
